Player,WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT,YDS,AVG,TD,FUM,LOST
Bo Nix,1,@Seahawks,L 20 - 26,26,42,138,3.3,0,2,2,6,47.5,5,35,7,1,,
Bo Nix,2,Steelers,L 6 - 13,20,35,246,7,0,2,2,15,55.2,4,25,6.2,0,,
Bo Nix,3,@Buccaneers,W 26 - 7,25,36,216,6,0,0,0,0,85,9,47,5.2,1,,
Bo Nix,4,@Jets,W 10 - 9,12,25,60,2.4,1,0,0,0,67.9,5,3,0.6,0,,
Bo Nix,5,Raiders,W 34 - 18,19,27,206,7.6,2,0,3,26,117.2,8,9,1.1,1,0,0
Bo Nix,6,Chargers,L 16 - 23,19,33,216,6.6,2,1,2,10,84.9,6,61,10.2,0,,
Bo Nix,7,@Saints,W 33 - 10,16,26,164,6.3,0,0,0,0,79.6,10,75,7.5,0,,
Bo Nix,8,Panthers,W 28 - 14,28,37,284,7.7,3,0,2,17,124.2,5,4,0.8,1,,
Bo Nix,9,@Ravens,L 10 - 41,19,33,223,6.8,0,1,4,28,65.6,6,36,6,0,,
Bo Nix,10,@Chiefs,L 14 - 16,22,30,215,7.2,2,0,2,33,115.3,3,-5,-1.7,0,1,0
Bo Nix,11,Falcons,W 38 - 6,28,33,307,9.3,4,0,1,12,145,2,5,2.5,0,,
Bo Nix,12,@Raiders,W 29 - 19,25,42,273,6.5,2,0,1,11,94.6,1,5,5,0,,
Bo Nix,13,Browns,W 41 - 32,18,35,294,8.4,1,2,0,0,65.6,3,4,1.3,0,,
Bo Nix,15,Colts,W 31 - 13,20,33,130,3.9,3,3,1,9,61.4,8,23,2.9,0,,
Bo Nix,16,@Chargers,L 27 - 34,29,40,263,6.6,2,0,2,18,106.6,3,25,8.3,0,1,0
Bo Nix,17,@Bengals,L 24 - 30,24,31,219,7.1,3,1,2,13,114.8,7,31,4.4,0,1,0
Bo Nix,18,Chiefs,W 38 - 0,26,29,321,11.1,4,0,0,0,152.4,7,47,6.7,0,,
Matthew Stafford,1,@Lions,L 20 - 26,34,49,317,6.5,1,1,2,13,85.2,,,,,,,
Matthew Stafford,2,@Cardinals,L 10 - 41,19,27,216,8,0,0,5,24,94.1,,,,1,1
Matthew Stafford,3,49ers,W 27 - 24,16,25,221,8.8,1,0,3,23,105.6,,,,,,,
Matthew Stafford,4,@Bears,L 18 - 24,20,29,224,7.7,0,1,3,21,77.4,1,-1,-1,0,1,1
Matthew Stafford,5,Packers,L 19 - 24,29,45,260,5.8,1,1,3,24,78,,,,,,,
Matthew Stafford,7,Raiders,W 20 - 15,14,23,154,6.7,0,1,1,10,62.6,2,-2,-1,0,,,
Matthew Stafford,8,Vikings,W 30 - 20,25,34,279,8.2,4,1,0,0,124.5,3,-4,-1.3,0,,,
Matthew Stafford,9,@Seahawks,W 26 - 20,25,44,298,6.8,2,1,0,0,83.3,1,0,0,0,1,0
Matthew Stafford,10,Dolphins,L 15 - 23,32,46,293,6.4,0,1,4,36,77.5,1,0,0,0,2,0
Matthew Stafford,11,@Patriots,W 28 - 22,18,27,295,10.9,4,0,0,0,142.8,4,0,0,0,,,
Matthew Stafford,12,Eagles,L 20 - 37,24,36,243,6.8,2,0,5,45,104.3,1,15,15,0,1,0
Matthew Stafford,13,@Saints,W 21 - 14,14,24,183,7.6,2,0,2,17,110.2,4,3,0.8,0,,,
Matthew Stafford,14,Bills,W 44 - 42,23,30,320,10.7,2,0,0,0,132.6,,,,,,,
Matthew Stafford,15,@49ers,W 12 - 6,16,27,160,5.9,0,0,0,0,76.2,4,18,4.5,0,,,
Matthew Stafford,16,@Jets,W 19 - 9,14,19,110,5.8,1,1,0,0,83.2,3,-4,-1.3,0,,,
Matthew Stafford,17,Cardinals,W 13 - 9,17,32,189,5.9,0,0,0,0,71,6,16,2.7,0,,,
Matthew Stafford,18,Seahawks,L 25 - 30,,,,,,,,,,,,,,,,
Josh Allen,1,Cardinals,W 34 - 28,18,23,232,10.1,2,0,2,10,137.7,9,39,4.3,2,1,1
Josh Allen,2,@Dolphins,W 31 - 10,13,19,139,7.3,1,0,0,0,107.1,2,2,1,0,1,0
Josh Allen,3,Jaguars,W 47 - 10,23,30,263,8.8,4,0,0,0,142.1,6,44,7.3,0,,,
Josh Allen,4,@Ravens,L 10 - 35,16,29,180,6.2,0,0,3,27,73.9,5,21,4.2,0,1,1
Josh Allen,5,@Texans,L 20 - 23,9,30,131,4.4,1,0,1,5,56.4,4,54,13.5,0,,,
Josh Allen,6,@Jets,W 23 - 20,19,25,215,8.6,2,0,2,5,127.9,9,18,2,1,1,0
Josh Allen,7,Titans,W 34 - 10,21,33,323,9.8,2,0,1,8,116.1,3,1,0.3,0,,,
Josh Allen,8,@Seahawks,W 31 - 10,24,34,283,8.3,2,1,1,2,102.9,7,25,3.6,0,1,0
Josh Allen,9,Dolphins,W 30 - 27,25,39,235,6,3,1,1,4,95.6,2,7,3.5,0,,,
Josh Allen,10,@Colts,W 30 - 20,22,37,280,7.6,0,2,2,0,60.6,8,50,6.2,1,,,
Josh Allen,11,Chiefs,W 30 - 21,27,40,262,6.6,1,1,0,0,83.5,12,55,4.6,1,,,
Josh Allen,13,49ers,W 35 - 10,13,17,148,8.7,2,0,0,0,141.3,3,18,6,1,,,
Josh Allen,14,@Rams,L 42 - 44,22,37,342,9.2,3,0,0,0,117.2,10,82,8.2,3,,,
Josh Allen,15,@Lions,W 48 - 42,23,34,362,10.6,2,0,0,0,122.4,11,68,6.2,2,,,
Josh Allen,16,Patriots,W 24 - 21,16,29,154,5.3,1,1,1,2,67.3,6,30,5,0,,,
Josh Allen,17,Jets,W 40 - 14,16,27,182,6.7,2,0,0,0,104.2,5,17,3.4,1,,,
Josh Allen,18,@Patriots,L 16 - 23,,,,,,,,,,,,,,,,,
C.J. Stroud,1,@Colts,W 29 - 27,24,32,234,7.3,2,0,4,30,115.9,4,13,3.2,0,,
C.J. Stroud,2,Bears,W 19 - 13,23,36,260,7.2,1,0,3,25,94.7,1,-1,-1,0,,
